Cuadra,Barrio,Varon,Mujer,Perro,Gato,Ave
Cuadra 1,"Villa Crespo, CABA",1,2,0,0,0
Cuadra 2,"Villa Crespo, CABA",1,0,2,0,0
Cuadra 3,"Villa Crespo, CABA",0,0,2,0,0
Cuadra 4,"Villa Crespo, CABA",1,1,0,0,0
Cuadra 5,"Villa Crespo, CABA",3,0,0,0,0
Cuadra 6,"Villa Crespo, CABA",1,1,2,0,0
Cuadra 7,"Villa Crespo, CABA",1,0,1,0,0
Cuadra 8,"Villa Crespo, CABA",0,0,4,0,0
Cuadra 9,"Villa Crespo, CABA",1,1,5,0,0
Cuadra 10,"Villa Crespo, CABA",0,0,0,0,0
Cuadra 11,"Villa Crespo, CABA",1,1,1,0,0
Cuadra 12,"Villa Crespo, CABA",2,0,0,0,0
Cuadra 13,"Villa Crespo, CABA",0,1,3,0,0
Cuadra 14,"Villa Crespo, CABA",0,1,0,0,0
Cuadra 15,"Villa Crespo, CABA",0,0,2,0,0
Cuadra 16,"Villa Crespo, CABA",2,0,3,0,0
Cuadra 17,"Villa Crespo, CABA",0,0,0,0,0
Cuadra 18,"Villa Crespo, CABA",0,0,1,0,0
Cuadra 19,"Villa Crespo, CABA",0,2,1,0,0
Cuadra 20,"Villa Crespo, CABA",0,0,2,0,0
Cuadra 21,"Villa Crespo, CABA",0,0,0,0,0
Cuadra 22,"Villa Crespo, CABA",2,0,1,0,0
Cuadra 23,"Villa Crespo, CABA",1,0,3,0,0
Cuadra 24,"Villa Crespo, CABA",0,0,0,0,0
Cuadra 25,"Villa Crespo, CABA",1,3,0,0,0
Cuadra 26,"Villa Crespo, CABA",2,0,1,0,0
Cuadra 27,"Once, CABA",0,3,0,0,0
Cuadra 28,"Once, CABA",2,0,0,0,0
Cuadra 29,"Once, CABA",0,0,5,0,0
Cuadra 30,"Once, CABA",0,0,2,0,0
Cuadra 31,"Once, CABA",3,0,0,0,0
Cuadra 32,"Once, CABA",0,0,5,0,0
Cuadra 33,"Once, CABA",4,0,0,0,0
Cuadra 34,"Once, CABA",1,0,7,0,0
Cuadra 35,"Once, CABA",0,0,4,0,0
Cuadra 36,"Once, CABA",1,0,4,0,0
Cuadra 37,"Once, CABA",0,0,6,0,0
Cuadra 38,"Once, CABA",0,2,0,0,0
Cuadra 39,"Once, CABA",0,0,2,0,0
Cuadra 40,"Once, CABA",1,0,1,0,0
Cuadra 41,"Once, CABA",0,0,1,0,0
Cuadra 42,"Once, CABA",1,0,1,0,0
Cuadra 43,"Once, CABA",1,0,1,0,0
Cuadra 44,"Once, CABA",0,0,2,0,0
Cuadra 45,"Once, CABA",1,0,0,0,0
Cuadra 46,"Once, CABA",2,1,2,0,0
Cuadra 47,"Once, CABA",0,0,2,0,0
Cuadra 48,"Once, CABA",0,1,2,0,0
Cuadra 49,"Once, CABA",4,1,0,0,0
Cuadra 50,"Once, CABA",3,2,3,0,0
Cuadra 51,"Once, CABA",5,0,0,0,0
Cuadra 52,"Once, CABA",2,2,0,0,0
Cuadra 53,"Once, CABA",3,0,0,0,0
Cuadra 54,"Once, CABA",2,3,0,0,0
Cuadra 55,"Once, CABA",1,0,0,0,0
Cuadra 56,"Once, CABA",0,0,0,0,0
Cuadra 57,"Once, CABA",4,1,0,0,0
Cuadra 58,"Once, CABA",0,4,0,0,0
Cuadra 59,"Once, CABA",5,2,0,0,0
Cuadra 60,"Once, CABA",3,1,0,0,0
Cuadra 61,"Once, CABA",2,1,0,0,0
Cuadra 62,"Once, CABA",2,0,0,0,0
Cuadra 63,"Once, CABA",2,0,1,0,0
Cuadra 64,"Once, CABA",0,0,0,0,0
Cuadra 65,"Once, CABA",0,1,0,0,0
Cuadra 66,"San Andres, San Martin",2,0,0,0,0
Cuadra 67,"San Andres, San Martin",0,1,0,0,0
Cuadra 68,"San Andres, San Martin",3,0,0,1,0
Cuadra 69,"San Andres, San Martin",0,0,0,0,0
Cuadra 70,"San Andres, San Martin",1,0,0,0,0
Cuadra 71,"San Andres, San Martin",0,1,2,0,3
Cuadra 72,"San Andres, San Martin",0,1,1,0,0
Cuadra 73,"San Andres, San Martin",1,1,0,0,0
Cuadra 74,"San Andres, San Martin",0,0,0,0,0
Cuadra 75,"San Andres, San Martin",0,0,1,0,0
Cuadra 76,"San Andres, San Martin",2,0,0,1,1
Cuadra 77,"San Andres, San Martin",0,0,0,0,0
Cuadra 78,"San Andres, San Martin",0,1,1,0,0
Cuadra 79,"San Andres, San Martin",0,1,1,0,4
Cuadra 80,"San Andres, San Martin",0,1,0,0,0
Cuadra 81,"San Andres, San Martin",0,1,0,0,0
Cuadra 82,"San Andres, San Martin",0,0,0,0,0
Cuadra 83,"San Andres, San Martin",0,0,0,0,0
Cuadra 84,"San Andres, San Martin",0,0,0,0,0
Cuadra 85,"San Andres, San Martin",2,1,0,0,0
Cuadra 86,"San Andres, San Martin",1,0,0,0,2
Cuadra 87,"San Andres, San Martin",1,0,0,0,0
Cuadra 88,"San Andres, San Martin",1,0,0,0,1
Cuadra 89,"San Andres, San Martin",0,0,2,0,1
Cuadra 90,"San Andres, San Martin",1,1,0,1,0
Cuadra 91,"San Andres, San Martin",1,0,2,1,0
Cuadra 92,"San Andres, San Martin",0,0,0,0,1
Cuadra 93,"San Andres, San Martin",0,0,0,0,0
Cuadra 94,"San Andres, San Martin",1,1,0,0,0